Clave,Concepto,Unidad
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: CLOSET RECÁMARA 2.,
CRTC-ALBN-028,"REPISÓN DE DIMENSIONES 1.75 x 0.90M, HECHO",PZA
,DE CONCRETO F´C= 100 KG/CM2. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, CIMBRADO Y",
,"DESCIMBRADO, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: ISLA DE COCINA.,
CRTC-ALBN-029,"REPISÓN DE DIMENSIONES 2.00 x 0.60M, HECHO",PZA
,DE CONCRETO F´C= 100 KG/CM2. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, CIMBRADO Y",
,"DESCIMBRADO, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: BARRA DE COCINA.,
CRTC-ALBN-030,BARRA DE CONCRETO ARMADO DE 0.90 x 0.50 M,PZA
,"Y 8 CM DE ESPESOR, A BASE DE CONCRETO F´C=",
,"150 KG/CM2, ARMADA CON VARILLA DE 3/8"" @20",
,"CM, CON TERMINADO APARENTE. INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENRA Y",
,EQUIPO. NOTA: BAÑO RECÁMARA 1.,
CRTC-ALBN-031,BARRA DE CONCRETO ARMADO DE 1.00 x 0.60 M,PZA
,"Y 8 CM DE ESPESOR, A BASE DE CONCRETO F´C=",
,"150 KG/CM2, ARMADA CON VARILLA DE 3/8"" @20",
,"CM, CON TERMINADO APARENTE. INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENRA Y",
,EQUIPO. NOTA: RECAMARA 2.,
CRTC-ALBN-032,BARRA DE CONCRETO ARMADO DE 0.60 x 0.60 M,PZA
,"Y 8 CM DE ESPESOR, A BASE DE CONCRETO F´C=",
,"150 KG/CM2, ARMADA CON VARILLA DE 3/8"" @20",
,"CM, CON TERMINADO APARENTE. INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENRA Y",
,EQUIPO. NOTA: BAÑO DE VISITAS.,
CRTC-ALBN-033,BARRA DE CONCRETO ARMADO DE 2.00 x 0.60 M,PZA
,"Y 8 CM DE ESPESOR, A BASE DE CONCRETO F´C=",
,"150 KG/CM2, ARMADA CON VARILLA DE 3/8"" @20",
,"CM, CON TERMINADO APARENTE. INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENRA Y",
,EQUIPO. NOTA: BARRA DE COCINA.,
CRTC-ALBN-034,GUARNICIÓN DE CONCRETO DE 15 x 30 CM DE,M
,"CONCRETO HECHO EN OBRA DE F'C=150 KG/CM2,",
,ARMADO CON ARMEX 15x20-4. INCLUYE:,
,"MATERIALES, ACARREOS EN CARRETILLA,",
,"CORTES, TRASLAPES, DESPERDICIOS,",
,"HABILITADO, CIMBRADO ACABADO COMÚN,",
,"DESCIMBRADO, LIMPIEZA, EQUIPO Y",
,HERRAMIENTA. NOTA: FIRME POSTERIOR,
CRTC-ALBN-035,ELABORACION DE JABONERA 0.30 M DE LARGO,PZA
,"POR 0.35 M DE ALTO; INCLUYE:MATERIAL, MANO",
,"DE OBRA, HERRAMIENTAS, ACARREOS LOCALES,",
,LIMPIEZA Y RETIRO DE SOBRANTES FUERA DE LA,
,OBRA. NOTA: BAÑO RECÁMARA 2,
CRTC-ALBN-036,ELABORACION DE JABONERA DE 1.58 M DE,PZA
,LARGO POR 0.30 M DE ALTO; INCLUYE:,
,"MATERIAL, MANO DE OBRA, HERRAMIENTAS,",
,"ACARREOS LOCALES, LIMPIEZA Y RETIRO DE",
,SOBRANTES FUERA DE LA OBRA. NOTA: BAÑO,
,RECÁMARA 1,
CRTC-ALBN-037,ELABORACION DE DOMO EN BAÑO DE VISITA DE,PZA
,0.90 X 0.40 M DE 0.30 DE ALTURA A NIVEL DE,
,"PRETIL. INCLUYE, ENJARRE, BOQUILLA, YESO",
,"MATERIALES, MANO DE OBRA, HERRAMIENRA Y",
,EQUIPO.,
2,TOTAL ALBAÑILERÍA OBRA NEGRA,
3,ALBAÑILERÍA OBRA GRIS,
CRTC-AOG-001,APLANADO EN MUROS CON MORTERO,M2
,"CEMENTO-ARENA 1:5 DE 2.5 CMS. DE ESPESOR,",
,"PROMEDIO, ACABADO FLOTEADO FINO, INCLUYE:",
,"PREPARACION DE LA SUPERFICIE, PERFILADO",
,"DE ARISTAS, BICELES, BOQUILLAS, CHAFLANES,",
,"GOTEROS, MATERIALES, MANO DE OBRA,",
,"HERRAMIENTA, ANDAMIOS, LIMPIEZA Y RETIRO",
,DE SOBRANTES.,
CRTC-AOG-002,APLANADO EN PLAFONES CON MORTERO,M2
,"CEMENTO-ARENA 1:5 DE 2.5 CMS. DE ESPESOR,",
,"PROMEDIO, ACABADO FLOTEADO FINO, INCLUYE:",
,"PREPARACION DE LA SUPERFICIE, PERFILADO",
,"DE ARISTAS, BICELES, BOQUILLAS, CHAFLANES,",
,"GOTEROS, MATERIALES, MANO DE OBRA,",
,"HERRAMIENTA, ANDAMIOS, LIMPIEZA Y RETIRO",
,DE SOBRANTES.,
CRTC-AOG-003,APLANADO EN PLAFONES CON YESO 2.5 CM DE,M2
,"ESPESOR PROMEDIO, ACABADO FLOTEADO",
,"FINO, INCLUYE: PREPARACION DE LA",
,"SUPERFICIE, PERFILADO DE ARISTAS, BICELES,",
,"BOQUILLAS, CHAFLANES, GOTEROS,",
,"MATERIALES, MANO DE OBRA, HERRAMIENTA,",
,"ANDAMIOS, LIMPIEZA Y RETIRO DE SOBRANTES.",
CRTC-AOG-004,"BOQUILLA EN MUROS DE HASTA 18 CM,",M
,"ACABADO FLOTEADO FINO , CON MEZCLA",
,"CEMENTO ARENA 1:4, INCLUYE: MATERIALES,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-AOG-005,"BOQUILLA EN MUROS DE HASTA 32 CM,",M
,"ACABADO FLOTEADO FINO, CON MEZCLA",
,"CEMENTO ARENA 1:4, INCLUYE: MATERIALES,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
3,TOTAL ALBAÑILERÍA OBRA GRIS,
4,AZOTEA,
CRTC-AZ-001,BASE PARA TINACO DE 1.2 X 1.20 M Y 10 CM. DE,PZA
,"ESPESOR, DE CONCRETO APARENTE DE F'C=150",
,"KG/CM2, SOBRE MUROS DE TABIQUE 10X14X28",
,"CM, ASENTADO CON MEZCLA CEMENTO ARENA",
,"EN PROPORCIÓN DE 1:5, INCLUYE: SUMINISTRO",
,"DE MATERIALES, ACARREOS, ELEVACIONES,",
,"DESPERDICIOS, HABILITADO, CIMBRADO,",
,"DESCIMBRADO, LIMPIEZA, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-AZ-002,"PRETIL DE 14 CM DE ESPESOR, 0.30 A 0.80 M DE",M
,"ALTURA, DE TABIQUE DE 10X14X28 CM.,",
,"ASENTADO CON MEZCLA CEMENTO ARENA 1:5,",
,"ACABADO COMÚN, INCLUYE: MATERIALES, MANO",
,"DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-AZ-003,MURO DE 15CM DE TABIQUE DE BARRO ROJO,M2
,"RECOCIDO DE 10X14X28 CM, ACABADO COMÚN,",
,ASENTADO CON MEZCLA MORTERO CEM-ARENA,
,"EN PROP. 1:5, CON ESPESOR DE JUNTA 2CM.",
,"INCLUYE: FLETES, SUMINISTRO DE MATERIALES,",
,"ACARREOS, ELABORACIÓN DE MORTERO,",
,"CORTES DE TABICÓN, MOCHETAS, MANO DE",
,"OBRA, HERRAMIENTA, LIMPIEZA, RETIRO DE",
,SOBRANTES FUERA DE LA OBRA Y TODO LO,
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-AZ-004,APLANADO EN PRETILES CON MORTERO,M
,"CEMENTO-ARENA 1:5 DE 2.5 CMS. DE ESPESOR,",
,"PROMEDIO, ACABADO FLOTEADO FINO, INCLUYE:",
,"PREPARACION DE LA SUPERFICIE, PERFILADO",
,"DE ARISTAS, BICELES, BOQUILLAS, CHAFLANES,",
,"GOTEROS, MATERIALES, MANO DE OBRA,",
,"HERRAMIENTA, ANDAMIOS, LIMPIEZA Y RETIRO",
,DE SOBRANTES.,
CRTC-AZ-005,APLANADO EN MUROS CON MORTERO,M2
,"CEMENTO-ARENA 1:5 DE 2.5 CMS. DE ESPESOR,",
,"PROMEDIO, ACABADO FLOTEADO FINO, INCLUYE:",
,"PREPARACION DE LA SUPERFICIE, PERFILADO",
,"DE ARISTAS, BICELES, BOQUILLAS, CHAFLANES,",
,"GOTEROS, MATERIALES, MANO DE OBRA,",
,"HERRAMIENTA, ANDAMIOS, LIMPIEZA Y RETIRO",
,DE SOBRANTES.,
CRTC-AZ-006,BOQUILLA DE APLANADO ACABADO FINO HASTA,M
,"21 CMS DE ANCHO, CON MEZCLA CEMENTO",
,"ARENA EN PROPORCIÓN DE 1:5, INCLUYE:",
,"SUMINISTRO DE MATERIALES, ACARREOS,",
,"ANDAMIOS, LIMPIEZA, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-AZ-007,"ENTORTADO PARA DESNIVEL, DE 1 A 10 CMS A",M2
,"BASE DE JAL, Y CEMENTO ARENA. INCLUYE:",
,"TRAZO, NIVELACION, SUMINISTRO DE",
,"MATERIALES, ACARREOS, ELEVACIÓN, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-AZ-008,ZABALETA EN PRETIL DE CHAFLAN DE 10 CM,M
,ELABORADO CON MORTERO CEM-ARENA PROP.,
,"1:5. INCLUYE: MATERIAL, MANO DE OBRA,",
,"DESPERDICIO, LIMPIEZA, ELEVACIÓN DE",
,MATERIAL Y TODO LO NECESARIO PARA SU,
,CORRECTA EJECUCIÓN.,
CRTC-AZ-009,IMPERMEABILIZANTE MARCA PASA DE,M2
,POLIESTER DE 3.5 MM DE 8 AÑOS. INCLUYE:,
,"SUMINISTRO Y APLICACIÓN, PREPARACION Y",
,"LIMPIEZA DE SUPERFICIE, MATERIALES,",
,"ACARREOS, ELEVACIÓN, DESPERDICIO, MANO",
,"DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-AZ-010,IMPERMEABILIZANTE ACRILICO EN PRETILES Y,M
,"BOQUILLAS, MARCA BEREL 5 AÑOS",
4,TOTAL AZOTEA,
5,ESTRUCTURA METALICA,
CRTC-EM-001,ESTRUCTURA METÁLICA PARA INSTALACION DE,KG
,CUBIERTA DE CEMPANEL A UNA CARA. INCLUYE:,
,"MATERIALES, ACAREOS, ELEVACIÓN, FIJACIÓN,",
,"SELLADO, MANO DE OBRA, EQUIPO Y",
,HERAMIENTA. NOTA: CUBIERTA EN ACCESO,
,PRINCIPAL,
CRTC-EM-002,BOQUILLAS DE CEMPANEL PARA CUBIERTA EN,ML
,"ACCESO PRINCIPAL INCLUYE: MATERIALES,",
,"ACAREOS, ELEVACIÓN, FIJACIÓN, SELLADO,",
,"MANO DE OBRA, EQUIPO Y HERAMIENTA.",
CRTC-EM-003,MUROS DE CEMPANEL PARA CUBIERTA EN,ML
,"ACCESO PRINCIPAL INCLUYE: MATERIALES,",
,"ACAREOS, ELEVACIÓN, FIJACIÓN, SELLADO,",
,"MANO DE OBRA, EQUIPO Y HERAMIENTA.",
CRTC-EM-004,PLAFON DE CEMPANEL PARA CUBIERTA EN,M2
,"ACCESO PRINCIPAL INCLUYE: MATERIALES,",
,"ACAREOS, ELEVACIÓN, FIJACIÓN, SELLADO,",
,"MANO DE OBRA, EQUIPO Y HERAMIENTA.",
CRTC-EM-020,"PUERTA PRINCIPAL METÁLICA, DIMENSIONES",PZA
,"1.6x2.5 M SEGUN DISEÑO, CONFORMADO CON",
,"PERFILES DE DIFERENTE CALIBRE, LAMINA LISA",
,"CALIBRE 18, INCLUYE: CRISTALES, FONDO",
,"ANTICORROSIVO, PINTURA ESMALTE, CHAPAS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA",
5,TOTAL ESTRUCTURA METALICA,
6,OBRA NEGRA EXTERIOR,
CRTC-AONE-001,MURO DE 15CM DE TABIQUE DE BARRO ROJO,M2
,"RECOCIDO DE 10X14X28 CM, ACABADO COMÚN,",
,ASENTADO CON MEZCLA MORTERO CEM-ARENA,
,"EN PROP. 1:5, CON ESPESOR DE JUNTA 2CM.",
,"INCLUYE: FLETES, SUMINISTRO DE MATERIALES,",
,"ACARREOS, ELABORACIÓN DE MORTERO,",
,"CORTES DE TABICÓN, MOCHETAS, MANO DE",
,"OBRA, HERRAMIENTA, LIMPIEZA, RETIRO DE",
,SOBRANTES FUERA DE LA OBRA Y TODO LO,
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-AONE-002,"CASTILLO K-a DE SECCIÓN 15x15 CM, CON",M
,ARMEX 15x15-4 Y CONCRETO F'C= 150 KG/CM2.,
,"INCLUYE: SUMINISTRO DE LOS MATERIALES,",
,"ACARREOS, CORTES, TRASLAPES, AMARRES,",
,"DESPERDICIOS, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-AONE-003,"DALA DL-1 DE SECCIÓN 15X20 CM, ARMADA CON",M
,4 VARILLAS DE #3 EN LECHO SUPERIOR Y 2,
,"VARILLAS DE #4 EN LECHO INFERIOR, CON",
,ESTRIBOS DE #2 @ 20 CM Y CONCRETO F'C= 200,
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-AONE-005,BANQUETA EN CALLE DE 1.50 M DE ANCHO DE,M
,"CONCRETO ARMADO DE 10 CM DE ESPESOR,",
,ARMADO CON MALLA ELECTROSOLDADA,
,"6X6-10/10, CONCRETO F'C=150 KG/CM2, ACABADO",
,ESCOBILLADO FINO. INCLUYE: PREPARACION DE,
,"LA SUPERFICIE, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
CRTC-AONE-006,ELABORACION DE MACHUELO EN BANQUETA,M
,"SECCION 15x30 CMS, CONCRETO FC=150",
,"KG/CM2, INCLUYE: CIMBRA, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA,
CRTC-AONE-007,ESCALON DE CONCRETO ARMADO DE 2.28x2.54,PZA
,"M, DE 15 CM DE ESPESOR Y NARIZ DE 5 CM,",
,ARMADO CON MALLA ELECTROSOLDADA,
,6X6-10/10 Y CONCRETO F'C= 150 KG/CM2.,
,"INCLUYE: PREPARACION DE LA SUPERFICIE,",
,"EXCAVACIÓN MANUAL, GUARNICIÓN DE",
,"CONCRETO, CIMBRADO Y DESCIMBRADO,",
,"MATERIAL, MANO DE OBRA, HERRAMIENTAS,",
,"FLETES, ACARREOS LOCALES, LIMPIEZA Y",
,RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: INGRESO PRINCIPAL.,
CRTC-AONE-008,ESCALON DE CONCRETO ARMADO DE 2.43x1.19,PZA
,"M, DE 15 CM DE ESPESOR Y NARIZ DE 5 CM,",
,ARMADO CON MALLA ELECTROSOLDADA,
,6X6-10/10 Y CONCRETO F'C= 150 KG/CM2.,
,"INCLUYE: PREPARACION DE LA SUPERFICIE,",
,"EXCAVACIÓN MANUAL, GUARNICIÓN DE",
,"CONCRETO, CIMBRADO Y DESCIMBRADO,",
,"MATERIAL, MANO DE OBRA, HERRAMIENTAS,",
,"FLETES, ACARREOS LOCALES, LIMPIEZA Y",
,RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: INGRESO PRINCIPAL.,
6,TOTAL OBRA NEGRA EXTERIOR,
7,ALBAÑILERÍA OBRA GRIS EXTERIOR,
CRTC-AOGE-001,APLANADO EN MUROS CON MORTERO,M2
,"CEMENTO-ARENA 1:5 DE 2.5 CMS. DE ESPESOR,",
,"PROMEDIO, ACABADO FLOTEADO FINO, INCLUYE:",
,"PREPARACION DE LA SUPERFICIE, PERFILADO",
,"DE ARISTAS, BICELES, BOQUILLAS, CHAFLANES,",
,"GOTEROS, MATERIALES, MANO DE OBRA,",
,"HERRAMIENTA, ANDAMIOS, LIMPIEZA Y RETIRO",
,DE SOBRANTES.,
CRTC-AOGE-001.1,APLANADO EN MUROS LATERALES CON,M2
,MORTERO CEMENTO-ARENA 1:5 DE 1.5 CMS. DE,
,"ESPESOR, INCLUYE: PREPARACION DE LA",
,"SUPERFICIE, PERFILADO DE ARISTAS, BICELES,",
,"BOQUILLAS, CHAFLANES, GOTEROS,",
,"MATERIALES, MANO DE OBRA, HERRAMIENTA,",
,"ANDAMIOS, LIMPIEZA Y RETIRO DE SOBRANTES.",
CRTC-AOGE-002,"BOQUILLA EN MUROS DE HASTA 18 CM,",M
,"ACABADO FLOTEADO FINO , CON MEZCLA",
,"CEMENTO ARENA 1:4, INCLUYE: MATERIALES,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
7,TOTAL ALBAÑILERÍA OBRA GRIS EXTERIOR,
8,INSTALACION HIDROSANITARIA,
CRTC-IHI-001,"CONEXIÓN A RED HIDRAULICA EXISTENTE DE 3/4""",SAL
,"PARA SUMINISTRO A CISTERNA, INCLUYE:",
,"TUBERIA DE 3/4"", CONEXIONES, MANO DE OBRA Y",
,MATERIALES.,
CRTC-IHI-002,"CONEXIÓN DE CISTERNA A TINACO, INCLUYE:",SAL
,"TUBERIA DE 3/4"", CONEXIONES, MANO DE OBRA Y",
,MATERIALES.,
CRTC-IHI-003,"BAJANTE HIDRAULICO DE 3/4"" PARA MOBILIARIO",PZA
,(ENGLOBA SALIDAS DE AGUA FRÍA Y CALIENTE).,
,"INCLUYE: , TUBERIA DE CPV. DE 1/2"", INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENTA,",
,"INSTALACIÓN, PEGAMIENTO, PRUEBAS, EQUIPO,",
,LIMPIEZA Y TODO LO NECESARIO PARA SU,
,CORRECTA EJECUCIÓN.,
CRTC-IHI-004,"SALIDA HIDRAULICA DE 1/2"" PARA MOBILIARIO",SAL
,(ENGLOBA SALIDAS DE AGUA FRÍA Y CALIENTE).,
,"INCLUYE: VALVULA, MANGUERA FLEXIBLE, CODO",
,"DE CPVC, TUBERIA DE CPV. DE 1/2"", INCLUYE:",
,"MATERIALES, MANO DE OBRA, HERRAMIENTA,",
,"INSTALACIÓN, PEGAMIENTO, PRUEBAS, EQUIPO,",
,LIMPIEZA Y TODO LO NECESARIO PARA SU,
,CORRECTA EJECUCIÓN.,
CRTC-IHI-005,"SALIDA SANITARIA DE PVC SANITARIO DE 2"" DE",SAL
,"DIAMETRO INCLUYE: PEGAMENTO, CONEXIONES,",
,"TUBERIA, MANO DE OBRA Y HERRAMIENTAS",
,NECESARIAS PARA SU CORRECTA INSTALACIÓN.,
CRTC-IHI-006,"SALIDA SANITARIA DE PVC SANITARIO DE 4"" DE",SAL
,"DIAMETRO INCLUYE: PEGAMENTO, CONEXIONES,",
,"TUBERIA, MANO DE OBRA Y HERRAMIENTAS",
,NECESARIAS PARA SU CORRECTA INSTALACIÓN.,
CRTC-IHI-007,"SALIDA DE DRENAJE DE AIRE ACONDICIONADO,",SAL
,"CON TUBERÍA DE PVC SANITARIO DE 3/4"" DE",
,"DIÁMETRO. INCLUYE: PEGAMENTO,",
,"CONEXIONES, TUBERIA, MANO DE OBRA Y",
,HERRAMIENTAS NECESARIAS PARA SU,
,CORRECTA INSTALACIÓN.,
CRTC-IHI-008,"CISTERNA ROTOPLAS DE 5,000 LTS, DIÁMETRO:",PZA
,2.38/0.55 M. ALTURA: 1.60 M. POLIETILENO DE,
,ALTA DENSIDAD. CONFINADO CON MURO DE,
,"LADRILLO 10x14x28 CM, CASTILLOS DE 15x15 CM",
,DE ARMEX Y FIRME DE CONCRETO DE 8 CM. (VER,
,ESPECIFICACIONES EN PLANO). INCLUYE:,
,"SUMINISTRO Y COLOCACION, EXCAVACION,",
,"FILTRO JUMBO Y FLOTADOR NO.7. TAPA CLICK,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-IHI-009,"TINACO MARCA ROTOPLAS, CON CAPACIDAD DE",PZA
,"1100 LT. INCLUYE: SUMINISTRO Y COLOCACION,",
,"FLOTADOR, CONEXIONES, MANO DE OBRA,",
,"MATERIALES, EQUIPO Y HERRAMIENTA.",
CRTC-IHI-010,LAVADERO DE GRANITO CON PILETA.,PZA
,DIMENSIONES 70x70 CM CON MURETES,
,"LATERALES DE LADRILLO ROJO RECOCIDO,",
,ENJARRE Y FLOTEADO. INCLUYE: SUMINISTRO Y,
,"COLOCACION, MANO DE OBRA, CESPOL DE PVC,",
,LLAVE DE CHORRO Y HERRAMIENTA.,
CRTC-IHI-011,"CALENTADOR DE PASO MARCA CINSA, MODELO",PZA
,"CDP-06. INCLUYE: SUMINISTRO Y COLOCACION,",
,"CONEXIONES, MANO DE OBRA Y TODO LO",
,NECESARIO PARA SU CORRECTA CONEXIÓN,
CRTC-IHI-012,"COLADERA DE 24"" PARA DUCHA, MARCA",PZA
,ELEFLOOM DE ACERO INOXIDABLE. INCLUYE:,
,"SUMINISTRO, CONEXIÓN, MANO DE OBRA,",
,"SALIDA, Y TODO LO NECESARIO PARA SU",
,CORRECTA EJECUCION,
CRTC-IHI-013,COLADERA UNIVERSAL PARA INSERTO,PZA
,CERÁMICO DE 10x10 CM MARCA INTERCERAMIC.,
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO DE",
,VISITAS Y PATIO DE SERVICIO,
CRTC-IHI-014,"REJILLA P/COLADERA 30x30 CM, ALUMINIO.",PZA
,"INCLUYE: SUMINISTRO, CONEXIÓN, MANO DE",
,"OBRA, SALIDA, Y TODO LO NECESARIO PARA SU",
,CORRECTA EJECUCION. REGISTROS PLUVIALES,
CRTC-IHI-015,"LLAVE DE CHORRO 4019C MARCA DICA, CON",SAL
,TUBERÍA DE CPVC DE NOTA: LLAVE DE JARDIN Y,
,LAVADERO.,
CRTC-IHI-016,"REGISTRO PLUVIAL DE 0.60X0.40X0.60 M,",PZA
,TABIQUE DE BARRO ROJO RECOCIDO DE 15 CM,
,DE ESPESOR ACABADO COMÚN DE 10X14X28,
,"CM., ASENTADO CON MEZCLA MORTERO",
,"CEM-ARENA EN PROP. 1:5, CON ESPESOR DE",
,"JUNTA 2 CM, CON ACABADO PULIDO EN",
,"INTERIOR. INCLUYE: TRAZO, EXCAVACION,",
,"MATERIAL, MANO DE OBRA, HERRAMIENTA Y",
,RETIRO DE SOBRANTES,
8,TOTAL INSTALACION HIDROSANITARIA,
9,INSTALACION ELÉCTRICA,
CRTC-ELC-001,SALIDA ELECTRICA PARA LUMINARIAS DE,SAL
,"DISTINTOS DISEÑOS, CON UN DESARROLLO DE",
,"5.00 M, INCLUYE: BOTE INTEGRAL Y/O CAJA",
,"CONDUIT CUADRADA DE 3/4"" (19 MM), POLIDUCTO",
,"CONDUIT BICAPA DE 3/4"", CABLEADO,",
,"MATERIALES, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-ELC-002,SALIDA ELECTRICA PARA CONTACTO,SAL
,"DUPLEX2P+T, 127 V, MARCA ESTEVEZ, LINEA",
,"OMEGA, MODELO HC-E70310-BL, CON PLACA Y",
,"CHASIS MARCA ESTEVEZ, LINEA OMEGA,",
,MODELO HC-E723BLA3. INCLUYE: RANURADO,
,"(PISO Y/O MURO), TENDIDO DE POLIDUCTO",
,"CONDUIT BICAPA DE 3/4"", CAJA, CABLEADO,",
,"MATERIALES, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-ELC-003,SALIDA ELECTRICA PARA CONTACTO,SAL
,"DUPLEX2P+T, 127 V, PUESTO FALLA A TIERRA",
,"MARCA STEVEZ MOD. LINEA ALPHA, INCLUYE:",
,"RANURADO (PISO Y/O MURO), TENDIDO DE",
,"POLIDUCTO CONDUIT BICAPA DE 3/4"", CAJA,",
,"CABLEADO, MATERIALES, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ELC-005,SALIDA ELECTRICA PARA APAGADOR SENCILLO,SAL
,"127 V, MARCA ESTEVEZ, LINEA OMEGA, MODELO",
,"HC-E70101-BL O HC-E70301-BL, CON PLACA Y",
,"CHASIS MARCA ESTEVEZ, LINEA OMEGA,",
,"MODELO HC-E723BLA3, COLOR BLANCO.",
,"INCLUYE: RANURADO (PISO Y/O MURO), TENDIDO",
,"DE POLIDUCTO CONDUIT BICAPA DE 3/4"", CAJA,",
,"CABLEADO, MATERIALES, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ELC-006,SALIDA ELECTRICA PARA APAGADOR DE 3,SAL
,"VIAS127 V, MARCA ESTEVEZ, LINEA OMEGA, CON",
,"PLACA Y CHASIS, INCLUYE: RANURADO (PISO Y/O",
,"MURO), TENDIDO DE POLIDUCTO CONDUIT",
,"BICAPA DE 3/4"", CAJA, CABLEADO, MATERIALES,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ELC-007,SALIDA ELECTRICA PARA EQUIPO DE AIRE,SAL
,"ACONDICIONADO BIFASICO. INCLUYE: DUCTERÍA,",
,CABLEADO Y CONEXIÓN HASTA TABLERO,
,"PRINCIPAL, MANO DE OBRA Y HERRAMIENTA.",
,NOTA: NO INCLUYE SUMINISTRO DE EQUIPO.,
CRTC-ELC-008,"INSTALACION DE ACOMETIDA ELECTRICA, BASE",PZA
,PARA MEDIDOR SEGÚN DISEÑO EN PLANO.,
,"INCLUYE: MANGUERA PAD DE 2"" ALAMBRE PARA",
,"GUIA, CABLE DE ALUMINIO 2+1 CALIBRE 2,",
,EXCAVACIONES Y MANO DE OBRA.,
CRTC-ELC-009,SUMINISTRO Y COLOCACION DE VARILLA DE,PZA
,"TIERRA 1/2""x 3.00 M. INCLUYE: CONECTOR",
,"P/VARILLA, MATERIALES, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ELC-010,SUMINISTRO Y COLOCACION DE INTERRUPTOR,PZA
,"TERMOMAGNETICO MARCA SQUARE-D, MODELO",
,"QO120, INCLUYE: MATERIALES, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ELC-011,SUMINISTRO Y COLOCACION DE INTERRUPTOR,PZA
,"TERMOMAGNETICO MARCA SQUARE-D, MODELO",
,"QO220, INCLUYE: MATERIALES, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ELC-012,SUMINISTRO Y COLOCACION DE CENTRO DE,PZA
,"CARGA TIPO QO-20, CON FRENTE PARA",
,"EMPOTRAR MARCA SQUARE-D, MODELO CARGA",
,"TIPO QO-20, MARCA SQUARE-D, MODELO",
,"QO124M100. BIFASICO INCLUYE: MATERIALES,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ELC-013,SUMINISTRO Y COLOCACION DE INTERRUPTOR,PZA
,"GENERAL TIPO QO-2, CON 1 INTERRUPTOR DE",
,"2X60 AMP. INCLUYE: MATERIALES, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ELC-014,LUMINARIA DE EMPOTRAR EN TECHO LAMPARA,PZA
,TECNOLITE 12YDLED430MV40B EMPOTRADO EN,
,TECHO BLANCO 12W . INCLUYE: SUMINISTRO Y,
